gene,chr
RP11-338N10.2,1
RP11-338N10.3,1
VAMP3,1
RP3-467L1.6,1
PER3,1
RP3-467L1.4,1
UTS2,1
TNFRSF9,1
RP5-892F13.2,1
PARK7,1
RF00019,Y
CTA-215D11.6,1
CTA-215D11.5,1
ERRFI1,1
RP11-431K24.1,1
CTA-215D11.4,1
RP11-431K24.2,1
RP11-431K24.3,1
RNU1-7P,1
RP11-431K24.4,1
RNU6-991P,1
SLC45A1,1
RERE,1
RP5-1115A15.1,1
RF00599,2
RP5-1115A15.2,1
RP4-633I8.1,1
RP4-633I8.2,1
RP4-633I8.3,1
RP4-633I8.4,1
RP11-185B14.1,1
ENO1,1
MIR6728,1
RP3-477M7.3,1
RNU6-304P,1
RP3-477M7.4,1
RP3-477M7.5,1
RP3-477M7.6,1
CA6,1
RN7SL451P,1
SLC2A7,1
SLC2A5,1
RF00424,11
GPR157,1
MIR34AHG,1
MIR34A,1
RP3-510D11.2,1
H6PD,1
SPSB1,1
CTD-2510L9.2,1
CTD-2510L9.1,1
RNA5SP40,1
RP13-392I16.1,1
SLC25A33,1
RP13-15M17.1,1
TMEM201,1
PIK3CD,1
C1orf200,1
RP11-558F24.2,1
RP11-558F24.4,1
CLSTN1,1
RP11-558F24.6,1
RP11-84A14.7,1
CTNNBIP1,1
RP11-84A14.5,1
LZIC,1
RP11-84A14.4,1
NMNAT1,1
RN7SKP269,1
RP11-84A14.6,1
MIR5697,1
RP11-807G9.2,1
RBP7,1
UBE4B,1
RP11-496H15.2,1
RP11-496H15.3,1
RNU6-828P,1
KIF1B,1
MIR1273D,1
RNU6-37P,1
RN7SL731P,1
RP4-736L20.4,1
RP4-736L20.5,1
PGD,1
RP4-736L20.3,1
APITD1-CORT,1
CENPS,1
CORT,1
DFFA,1
RP5-1113E3.3,1
PEX14,1
RN7SL614P,1
CASZ1,1
RP4-734G22.3,1
RP11-340B24.3,1
C1orf127,1
CFLP6,1
TARDBP,1
RP4-635E18.9,1
MASP2,1
RP4-635E18.8,1
SRM,1
EXOSC10,1
RP4-635E18.7,1
RP4-635E18.6,1
MTOR,1
RP11-99P18.1,1
RNU6-537P,1
ANGPTL7,1
RNU6-291P,1
RP4-647M16.1,1
UBIAD1,1
RP4-796F18.2,1
RP4-796F18.3,1
RP11-149P14.1,1
DISP3,1
RP1-69M21.2,1
RP3-330O12.5,1
FBXO2,1
FBXO44,1
FBXO6,1
MAD2L2,1
DRAXIN,1
AGTRAP,1
C1orf167,1
RP11-56N19.5,1
MTHFR,1
CLCN6,1
NPPA-AS1,1
RF02156,1
RF02157,1
NPPA,1
RF02158,1
NPPB,1
RP5-934G17.6,1
RNU5E-1,1
RNU5E-4P,1
KIAA2013,1
PLOD1,1
MFN2,1
RP5-1077B9.5,1
MIIP,1
MIR6729,1
RN7SL649P,1
TNFRSF8,1
RNU6-777P,1
RP11-426M1.2,1
MIR7846,1
TNFRSF1B,1
MIR4632,1
RP5-1118D24.2,1
RF00156,Y
VPS13D,1
SNORA59A,1
RP5-888M10.2,1
DHRS3,1
RNU6ATAC18P,1
MIR6730,1
RP11-474O21.5,1
AADACL4,1
RP11-474O21.2,1
AADACL3,1
C1orf158,1
PRAMEF12,1
PRAMEF1,1
RP5-845O24.8,1
PRAMEF11,1
RP5-845O24.3,1
HNRNPCL1,1
PRAMEF2,1
PRAMEF4,1
PRAMEF10,1
PRAMEF7,1
RNU6-1072P,1
RP11-450I1.2,1
PRAMEF6,1
CH17-409J4.2,1
PRAMEF27,1
HNRNPCL3,1
PRAMEF25,1
WI2-2994D6.1,1
RP13-221M14.4,1
HNRNPCL2,1
RP13-221M14.3,1
RP13-221M14.2,1
PRAMEF26,1
HNRNPCL4,1
PRAMEF9,1
PRAMEF13,1
PRAMEF18,1
RP11-450I1.4,1
PRAMEF5,1
RP11-219C24.8,1
RNU6-771P,1
PRAMEF8,1
RP11-219C24.6,1
PRAMEF15,1
RP11-219C24.10,1
PRAMEF14,1
PRAMEF19,1
PRAMEF17,1
PRAMEF20,1
LRRC38,1
RP4-597A16.2,1
RP4-597A16.3,1
PDPN,1
RNA5SP41,1
CTA-520D8.2,1
RF00564,12
PRDM2,1
KAZN,1
RNU6-1265P,1
RP11-344F13.1,1
RP4-704D23.1,1
RP3-410I8.1,1
TMEM51-AS1,1
TMEM51,1
C1orf195,1
RP1-21O18.3,1
RP5-903E17.2,1
FHAD1,1
RP3-467K16.2,1
RP3-467K16.7,1
RP3-467K16.4,1
EFHD2,1
CTRC,1
CELA2A,1
CELA2B,1
CASP9,1
DNAJC16,1
SCARNA21B,1
RP4-680D5.8,1
AGMAT,1
RP4-680D5.2,1
RP4-680D5.3,1
RNU7-179P,1
RP4-680D5.4,1
DDI2,1
RSC1A1,1
RP4-680D5.9,1
PLEKHM2,1
RP11-288I21.1,1
SLC25A34,1
RP11-169K16.4,1
TMEM82,1
FBLIM1,1
RP11-169K16.6,1
UQCRHL,1
RP11-169K16.8,1
RP11-169K16.9,1
SPEN,1
RP1-134O19.3,1
ZBTB17,1
RP11-5P18.1,1
RP11-5P18.3,1
RP11-5P18.11,1
RP11-5P18.2,1
C1orf64,1
RP11-5P18.5,1
HSPB7,1
CLCNKA,1
RP11-5P18.10,1
CLCNKB,1
FAM131C,1
EPHA2,1
RP11-276H7.2,1
RP11-276H7.3,1
RP4-733M16.2,1
ARHGEF19,1
ANO7P1,1
RSG1,1
MTL1,1
FBXO42,1
SZRD1,1
RP11-430L17.1,1
SPATA21,1
NECAP2,1
RP4-798A10.2,1
CROCCP3,1
RNU1-1,1
RP4-798A10.7,1
RP4-798A10.4,1
RP5-875O13.1,1
RNU1-6P,1
RP5-875O13.6,1
NBPF1,1
RP5-1182A14.5,1
CROCCP2,1
RP5-1182A14.8,1
MST1P2,1
RP1-163M9.8,1
RNU1-3,1
RP5-875O13.7,1
EIF1AP1,1
ESPNP,1
RP1-163M9.7,1
RP5-1182A14.7,1
CROCC,1
RP1-163M9.5,1
RNU1-4,1
MST1L,1
RP11-108M9.1,1
RP11-108M9.2,1
MIR3675,1
RP11-108M9.3,1
RNU1-5P,1
RP11-108M9.4,1
RP11-108M9.5,1
RNU1-2,1
RP11-108M9.6,1
MFAP2,1
RP1-37C10.3,1
ATP13A2,1
SDHB,1
PADI2,1
RP11-380J14.1,1
RP11-380J14.4,1
PADI1,1
PADI3,1
MIR3972,1
PADI4,1
PADI6,1
RP1-20B21.4,1
RCC2,1
ARHGEF10L,1
RP11-473A10.2,1
ACTL8,1
RP11-658E23.1,1
RP11-174G17.2,1
IGSF21,1
RP11-174G17.3,1
RP11-174G17,1
RP11-422P22.1,1
KLHDC7A,1
RP1-8B22.1,1
RP1-8B22.2,1
PAX7,1
TAS1R2,1
RP13-279N23.2,1
ALDH4A1,1
MIR4695,1
MIR1290,1
IFFO2,1
RP5-1126H10.2,1
UBR4,1
RP1-43E13.2,1
EMC1,1
MRTO4,1
AKR7L,1
AKR7A3,1
RP4-657E11.10,1
AKR7A2,1
RNU6-1099P,1
PQLC2,1
CAPZB,1
RN7SL277P,1
RNU4-28P,1
RP5-1056L3.1,1
MINOS1,1
NBL1,1
MINOS1-NBL1,1
RP5-1056L3.3,1
HTR6,1
TMCO4,1
RNF186,1
RP11-91K11.2,1
OTUD3,1
PLA2G2E,1
RN7SL304P,1
PLA2G2A,1
PLA2G5,1
PLA2G2D,1
PLA2G2F,1
RP3-340N1.2,1
PLA2G2C,1
RP3-340N1.5,1
UBXN10,1
RP3-340N1.6,1
RP3-340N1.7,1
VWA5B1,1
RP4-745E8.2,1
RP4-749H3.1,1
RP4-749H3.2,1
RP4-749H3.4,1
RP4-749H3.3,1
CAMK2N1,1
MUL1,1
RP11-401M16.3,1
FAM43B,1
CDA,1
PINK1,1
MIR6084,1
RP11-401M16.7,1
DDOST,1
KIF17,1
RP5-930J4.5,1
SH2D5,1
RP5-930J4.2,1
HP1BP3,1
EIF4G3,1
RNU7-200P,1
MIR1256,1
RP11-487E1.1,1
RP11-487E1.2,1
RP11-628K18.1,1
ECE1,1
RP3-329E20.2,1
RP5-1071N3.1,1
RP11-560O15.1,1
RP11-293F5.8,1
RP11-293F5.1,1
RP11-293F5.2,1
HS6ST1P,1
RP11-293F5.4,1
NBPF3,1
RP11-293F5.6,1
ALPL,1
RP11-63N8.3,1
RAP1GAP,1
USP48,1
RP11-132G19.3,1
LDLRAD2,1
HSPG2,1
RP11-26H16.1,1
RP11-26H16.4,1
CELA3B,1
RN7SL386P,1
RNU6-1022P,1
CELA3A,1
RN7SL186P,1
RNU6-776P,1
RP1-224A6.3,1
RP1-224A6.4,1
CDC42,1
RP1-224A6.6,1
RP1-224A6.8,1
RP1-224A6.9,1
WNT4,1
MIR4418,1
RP11-415K20.1,1
RP11-415K20.2,1
ZBTB40,1
RP1-61A9.4,1
EPHA8,1
MIR6127,1
C1QA,1
C1QC,1
C1QB,1
EPHB2,1
MIR4684,1
RP11-69E9.1,1
MIR4253,1
LACTBL1,1
C1orf234,1
KDM1A,1
RP1-184J9.2,1
MIR3115,1
MIR4419A,1
LUZP1,1
RP5-979D14.1,1
RNU6-514P,1
RNU6-135P,1
HTR1D,1
RP5-1057J7.1,1
RP5-1057J7.6,1
RP5-1057J7.8,1
HNRNPR,1
ZNF436,1
C1orf213,1
RP5-1057J7.7,1
TCEA3,1
RP4-654C18.1,1
ASAP3,1
E2F2,1
RP1-150O5.3,1
ID3,1
MDS2,1
RP11-223J15.2,1
RPL11,1
ELOA,1
RP5-886K2.3,1
PITHD1,1
LYPLA2,1
GALE,1
HMGCL,1
FUCA1,1
CNR2,1
RP11-4M23.2,1
RP11-4M23.3,1
MIR378F,1
RP11-4M23.4,1
PNRC2,1
SRSF10,1
RP11-4M23.7,1
RP11-293P20.2,1
MYOM3,1
RP11-293P20.4,1
IL22RA1,1
IFNLR1,1
RP11-10N16.2,1
RP11-10N16.3,1
GRHL3,1
STPG1,1
NIPAL3,1
RCAN3,1
RP4-594I10.3,1
NCMAP,1
RP11-496D1.2,1
SRRM1,1
RP11-373M8.2,1
CLIC4,1
RNU6-1208P,1
RUNX3,1
MIR6731,1
RP11-84D1.1,1
RP11-84D1.2,1
MIR4425,1
RP4-799D16.1,1
RP4-781L3.1,1
RP4-706G24.1,1
SYF2,1
RP3-465N24.7,1
RP3-465N24.8,1
RSRP1,1
RP3-465N24.6,1
RP3-465N24.5,1
RHD,1
RP11-335G20.1,1
RP11-335G20.7,1
TMEM50A,1
RHCE,1
RP3-469D22.1,1
TMEM57,1
LDLRAP1,1
RP11-70P17.1,1
MAN1C1,1
RP1-187B23.1,1
SEPN1,1
RP1-317E23.6,1
RP1-317E23.3,1
MTFR1L,1
RP1-317E23.7,1
AUNIP,1
RP1-125I3.2,1
PAQR7,1
STMN1,1
RP1-125I3.7,1
RP1-125I3.4,1
MIR3917,1
PAFAH2,1
RNU6-110P,1
RF00492,22
RF00283,18
EXTL1,1
SLC30A2,1
RP11-96L14.9,1
TRIM63,1
PDIK1L,1
FAM110D,1
RP11-96L14.8,1
RP11-96L14.7,1
ZNF593,1
CNKSR1,1
CATSPER4,1
RP11-231P20.2,1
RP11-231P20.6,1
CEP85,1
RP11-231P20.5,1
SH3BGRL3,1
UBXN11,1
CD52,1
CRYBG2,1
RP11-569G9.7,1
ZNF683,1
LIN28A,1
DHDDS,1
RP3-476K8.4,1
RP3-476K8.3,1
HMGN2,1
RP11-492M19.1,1
RPS6KA1,1
MIR1976,1
RN7SL679P,1
RNU7-29P,1
RP11-492M19.3,1
RF01210,X
RP4-785J1.1,1
RP5-968P14.2,1
ARID1A,1
PIGV,1
RN7SL165P,1
ZDHHC18,1
SFN,1
RP1-50O24.6,1
GPN2,1
GPATCH3,1
NUDC,1
NR0B2,1
KDF1,1
RP11-344H11.4,1
RP11-344H11.5,1
RP11-344H11.6,1
TRNP1,1
FAM46B,1
SLC9A1,1
RP11-40H20.5,1
RP11-40H20.1,1
RP11-40H20.2,1
RP11-40H20.3,1
RP11-40H20.4,1
WDTC1,1
RP11-4K3__A.3,1
TMEM222,1
RNU6-48P,1
RP11-4K3__A.5,1
SYTL1,1
MAP3K6,1
FCN3,1
CD164L2,1
RP1-144C9.2,1
GPR3,1
WASF2,1
RP4-752I6.1,1
RP1-159A19.4,1
AHDC1,1
FGR,1
RP1-159A19.3,1
RP11-288L9.1,1
IFI6,1
RP11-288L9.4,1
RNU6-949P,1
RP11-288L9.3,1
RNU6-424P,1
FAM76A,1
RP3-426I6.2,1
RP3-426I6.3,1
STX12,1
RP3-426I6.5,1
RP3-426I6.6,1
RNU6-1245P,1
PPP1R8,1
SCARNA1,1
THEMIS2,1
RPA2,1
SMPDL3B,1
RP11-460I13.2,1
XKR8,1
EYA3,1
RP11-460I13.6,1
RN7SL559P,1
RP5-1053E7.1,1
RP5-1053E7.2,1
RP5-1053E7.3,1
RNU6-176P,1
PTAFR,1
DNAJC8,1
ATPIF1,1
RP5-1092A3.4,1
RP5-1092A3.5,1
SESN2,1
MED18,1
PHACTR4,1
RP1-308E4.1,1
RNU6ATAC27P,1
RCC1,1
SNHG3,1
SNORA73A,1
SNORA73B,1
RP4-669K10.3,1
RP4-669K10.8,1
TRNAU1AP,1
SNHG12,1
SNORD99,1
SNORA61,1
SNORA44,1
SNORA16A,1
TAF12,1
RAB42,1
RP11-442N24__B.1,1
RNU11,1
GMEB1,1
RF00422,17
YTHDF2,1
OPRD1,1
RP1-212P9.3,1
EPB41,1
RP4-604A21.1,1
RF00017,Y
TMEM200B,1
RP11-242O24.3,1
SRSF4,1
RF02271,X
MECR,1
RP11-467D18.2,1
PTPRU,1
RP3-437I16.1,1
RP11-810H18.1,1
RP4-656G21.1,1
RP11-179G8.2,1
RP11-179G8.1,1
RP11-111I12.1,1
RP5-893G23.1,1
RP3-357I16.1,1
RP4-591L5.1,1
RP4-591L5.2,1
MATN1,1
RP5-1166H10.2,1
LAPTM5,1
MIR4420,1
RP5-1125N11.1,1
RP5-1125N11.2,1
RN7SKP91,1
RP1-65J11.5,1
SDC3,1
RN7SL371P,1
PUM1,1
RP11-201O14.1,1
RP11-201O14.2,1
SEPW1P,1
RP11-490K7.1,1
NKAIN1,1
SNRNP40,1
RP11-490K7.4,1
ZCCHC17,1
RP11-266K22.2,1
FABP3,1
SERINC2,1
RP11-439L8.2,1
RNU6-40P,1
RP11-439L8.3,1
RP11-73M7.10,1
RP11-73M7.1,1
TINAGL1,1
HCRTR1,1
PEF1,1
RP11-73M7.6,1
RP11-73M7.9,1
COL16A1,1
ADGRB2,1
MIR4254,1
RP11-84A19.3,1
SPOCD1,1
RP11-84A19.2,1
RP11-84A19.4,1
PTP4A2,1
RP4-534N18.2,1
RP4-534N18.4,1
KHDRBS1,1
RP11-277A4.4,1
TMEM39B,1
MIR5585,1
KPNA6,1
RP4-622L5.2,1
TXLNA,1
CCDC28B,1
RP4-622L5.7,1
IQCC,1
DCDC2B,1
TMEM234,1
EIF3I,1
MTMR9L,1
FAM167B,1
LCK,1
HDAC1,1
MARCKSL1,1
RP4-811H24.9,1
TSSK3,1
FAM229A,1
BSDC1,1
RP11-395N6.1,1
RP11-395N6.4,1
RP11-395N6.2,1
RN7SL122P,1
RP1-27O5.3,1
ZBTB8B,1
ZBTB8A,1
ZBTB8OS,1
RBBP4,1
SYNC,1
RP11-114B7.6,1
KIAA1522,1
YARS,1
S100PBP,1
FNDC5,1
HPCA,1
TMEM54,1
RNF19B,1
RP5-1174N9.2,1
RP4-803A2.1,1
RP4-803A2.2,1
RP1-117O3.2,1
AK2,1
AZIN2,1
RP11-131M11.2,1
TRIM62,1
RP11-131M11.3,1
RP11-131M11.4,1
ZNF362,1
RP11-415J8.7,1
A3GALT2,1
RP11-415J8.3,1
PHC2,1
MIR3605,1
RN7SKP16,1
RP11-415J8.5,1
RP1-149P10.1,1
ZSCAN20,1
RP4-580O19.2,1
CSMD2,1
HSPD1P14,1
HMGB4,1
RP5-1007G16.1,1
RNA5SP42,1
C1orf94,1
RP4-657M3.2,1
MIR552,1
SMIM12,1
GJB5,1
GJB4,1
RP1-34M23.5,1
GJB3,1
GJA4,1
RP5-997D16.2,1
DLGAP3,1
RP11-244H3.5,1
RP11-244H3.1,1
RP11-244H3.4,1
TMEM35B,1
ZMYM6,1
RP11-248I9.2,1
ZMYM1,1
RP11-181E22.1,1
RP11-181E22.4,1
SFPQ,1
ZMYM4,1
RN7SL503P,1
RF00091,21
RP4-765A10.1,1
RP4-765A10.2,1
KIAA0319L,1
RP4-728D4.3,1
NCDN,1
RP4-728D4.2,1
TFAP2E,1
PSMB2,1
C1orf216,1
CLSPN,1
RP11-435D7.3,1
AGO4,1
AGO1,1
RP4-789D17.4,1
RP4-789D17.5,1
AGO3,1
RP4-665N4.8,1
RP4-665N4.4,1
TEKT2,1
ADPRHL2,1
COL8A2,1
TRAPPC3,1
MAP7D1,1
RN7SL131P,1
THRAP3,1
RP11-238O13.1,1
SH3D21,1
EVA1B,1
RP11-268J15.5,1
STK40,1
LSM10,1
RNU4-27P,1
OSCP1,1
SNORA63C,1
MRPS15,1
CSF3R,1
RP4-655C4.1,1
RP11-251B9.1,1
RP4-614N24.3,1
RP4-614N24.1,1
GRIK3,1
RP3-406M12.1,1
MIR4255,1
RNU6-636P,1
RP5-1180C18.1,1
RNA5SP43,1
RP5-1090E8.1,1
RP11-422J8.1,1
ZC3H12A,1
MIR6732,1
MEAF6,1
MIR5581,1
SNIP1,1
FTHL1,1
RP3-423B22.5,1
DNALI1,1
GNL2,1
RP11-566C13.2,1
RSPO1,1
C1orf109,1
CDCA8,1
EPHA10,1
RP11-109P14.1,1
RP11-109P14.2,1
MANEAL,1
RP11-109P14.9,1
YRDC,1
C1orf122,1
MTF1,1
RP11-109P14.8,1
RP11-109P14.10,1
INPP5B,1
RF00092,15
RNU6-584P,1
SF3A3,1
RNU6-510P,1
FHL3,1
UTP11,1
POU3F1,1
RP5-884C9.2,1
RP5-884C9.3,1
MIR3659,1
RP5-884C9.4,1
RP11-214L19.1,1
RP11-329N22.2,1
RNU6-753P,1
RP11-329N22.1,1
RP11-334L9.1,1
RP11-334L9.2,1
RRAGC,1
RP5-864K19.7,1
RP5-864K19.4,1
MYCBP,1
RP5-864K19.6,1
GJA9,1
RHBDL2,1
RNU6-605P,1
RP11-781D11.1,1
AKIRIN1,1
NDUFS5,1
MACF1,1
RNU6-608P,1
RNA5SP44,1
RP11-416A14.1,1
RP11-420K8.1,1
RP11-420K8.2,1
BMP8A,1
RP11-69E11.7,1
PPIEL,1
PABPC4,1
RP11-69E11.8,1
SNORA55,1
HEYL,1
RP1-144F13.3,1
NT5C1A,1
HPCAL4,1
PPIE,1
RP1-144F13.4,1
RNU7-121P,1
BMP8B,1
OXCT2,1
RP1-118J21.25,1
RP1-118J21.24,1
RP1-118J21.27,1
RP1-118J21.28,1
TRIT1,1
MYCL,1
RP1-118J21.5,1
MFSD2A,1
RP3-342P20.2,1
CAP1,1
PPT1,1
RP11-115D7.3,1
RLF,1
RNU6-1237P,1
TMCO2,1
RP1-39G22.7,1
ZMPSTE24,1
RP1-39G22.4,1
COL9A2,1
RP1-228H13.1,1
SMAP2,1
RP1-228H13.2,1
RP1-228H13.6,1
ZFP69B,1
RP1-228H13.5,1
RP11-656D10.7,1
ZFP69,1
RP11-656D10.3,1
EXO5,1
RP11-656D10.5,1
RP11-656D10.6,1
ZNF684,1
RP1-63P18.2,1
RP4-739H11.1,1
RIMS3,1
RP4-739H11.3,1
RP4-739H11.4,1
NFYC,1
MIR30E,1
MIR30C1,1
KCNQ4,1
RN7SL326P,1
CITED4,1
RP5-1066H13.4,1
RP11-348A7.1,1
RP11-348A7.2,1
CTPS1,1
SLFNL1-AS1,1
SLFNL1,1
SCMH1,1
RP4-635E8.1,1
RP11-399E6.1,1
RP11-399E6.2,1
FOXO6,1
RP11-399E6.4,1
RNA5SP45,1
EDN2,1
HIVEP3,1
RP11-486B10.3,1
RP11-486B10.4,1
RP11-486B10.5,1
RP1-21K4.1,1
RP11-319C21.1,1
GUCA2B,1
GUCA2A,1
FOXJ3,1
RP11-223A3.1,1
RIMKLA,1
RP11-157D18.2,1
ZMYND12,1
PPCS,1
CCDC30,1
RP11-163G10.2,1
RP11-163G10.3,1
RNU6-536P,1
RP11-163G10.4,1
PPIH,1
RP5-994D16.3,1
YBX1,1
CLDN19,1
P3H1,1
C1orf50,1
RP5-994D16.12,1
RP5-994D16.9,1
TMEM269,1
SVBP,1
ERMAP,1
RP11-342M1.3,1
ZNF691,1
RP11-342M1.7,1
RP11-342M1.6,1
RP5-848E13.1,1
SLC2A1,1
RP5-848E13.5,1
RP5-848E13.3,1
RP5-848E13.4,1
RNU6-880P,1
RP3-393B19.1,1
FAM183A,1
EBNA1BP2,1
MIR6733,1
CFAP57,1
RNA5SP46,1
TMEM125,1
C1orf210,1
TIE1,1
MPL,1
RP1-92O14.3,1
CDC20,1
ELOVL1,1
MIR6734,1
MED8,1
RP1-92O14.6,1
SZT2,1
RP11-506B15.4,1
MIR6735,1
HYI,1
RP11-506B15.6,1
PTPRF,1
RP11-7O11.7,1
KDM4A,1
RP11-184I16.2,1
ST3GAL3,1
RP11-184I16.4,1
RP11-184I16.3,1
MIR6079,1
RP4-654J19.1,1
ARTN,1
RP11-7O11.3,1
IPO13,1
DPH2,1
ATP6V0B,1
B4GALT2,1
CCDC24,1
SLC6A9,1
RP5-1198O20.4,1
RP5-1198O20.5,1
KRT8P47,1
RN7SL479P,1
KLF17,1
RP11-570P14.1,1
KLF18,1
RP4-675G8.3,1
RP4-675G8.4,1
RP5-891H21.1,1
RP5-891H21.5,1
DMAP1,1
ERI3,1
RP5-891H21.4,1
RNU6-369P,1
RNF220,1
MIR5584,1
TMEM53,1
C1orf228,1
RNU5F-1,1
RNU5D-1,1
KIF2C,1
RP11-269F19.2,1
RPS8,1
SNORD55,1
SNORD46,1
SNORD38A,1
SNORD38B,1
RP11-269F19.4,1
BEST4,1
PLK3,1
RP11-269F19.9,1
BTBD19,1
PTCH2,1
RNU5E-6P,1
RP5-882O7.1,1
EIF2B3,1
RNA5SP47,1
RP5-882O7.3,1
RP5-882O7.4,1
RP5-882O7.5,1
HECTD3,1
UROD,1
ZSWIM5,1
RP11-69J16.4,1
LINC01144,1
HPDL,1
MUTYH,1
TOE1,1
TESK2,1
RP11-291L19.1,1
CCDC163P,1
MMACHC,1
PRDX1,1
RP4-697E16.1,1
AKR1A1,1
AL355480.3,1
AL355480.1,1
NASP,1
AL355480.2,1
AL355480.4,1
CCDC17,1
GPBP1L1,1
